index,range_size,keys_read,total_ms,ops_per_sec
btree_4k,4096,4096,620,6597141.13
btree_4k,8192,8192,890,9200617.72
btree_4k,16384,16384,1855,8829370.16
btree_4k,32768,32768,3385,9677615.61
btree_4k,65536,65536,7639,8579039.06
btree_4k,131072,131072,20293,6458697.51
btree_4k,262144,262144,39430,6648282.68
btree_4k,524288,524288,99440,5272376.79
btree_8k,4096,4096,553,7398509.82
btree_8k,8192,8192,741,11048501.74
btree_8k,16384,16384,1468,11158224.22
btree_8k,32768,32768,3002,10912816.03
btree_8k,65536,65536,6169,10622794.04
btree_8k,131072,131072,12313,10644649.71
btree_8k,262144,262144,44001,5957677.23
btree_8k,524288,524288,63550,8249948.41
btree_16k,4096,4096,415,9858002.41
btree_16k,8192,8192,599,13659024.59
btree_16k,16384,16384,1195,13700428.56
btree_16k,32768,32768,2626,12475324.80
btree_16k,65536,65536,5925,11060928.27
btree_16k,131072,131072,10758,12183677.26
btree_16k,262144,262144,20887,12550281.27
btree_16k,524288,524288,53035,9885690.30
bptree_4k,4096,4096,403,10148033.45
bptree_4k,8192,8192,397,20619646.56
bptree_4k,16384,16384,810,20215729.87
bptree_4k,32768,32768,1728,18959759.11
bptree_4k,65536,65536,3766,17398936.51
bptree_4k,131072,131072,12182,10759187.09
bptree_4k,262144,262144,23845,10993321.66
bptree_4k,524288,524288,48441,10823209.71
bptree_8k,4096,4096,336,12169324.75
bptree_8k,8192,8192,400,20475751.28
bptree_8k,16384,16384,699,23426630.92
bptree_8k,32768,32768,1353,24206839.64
bptree_8k,65536,65536,2655,24680506.52
bptree_8k,131072,131072,5632,23271520.72
bptree_8k,262144,262144,18600,14093195.17
bptree_8k,524288,524288,42546,12322572.81
bptree_16k,4096,4096,254,16123381.66
bptree_16k,8192,8192,249,32877547.99
bptree_16k,16384,16384,480,34091854.91
bptree_16k,32768,32768,980,33426774.88
bptree_16k,65536,65536,2113,31008280.10
bptree_16k,131072,131072,4571,28670504.65
bptree_16k,262144,262144,8676,30212669.10
bptree_16k,524288,524288,27854,18822577.90
lsm_pebble_16m,4096,4096,731,5602647.03
lsm_pebble_16m,8192,8192,1080,7582552.35
lsm_pebble_16m,16384,16384,2153,7607935.02
lsm_pebble_16m,32768,32768,4353,7526024.02
lsm_pebble_16m,65536,65536,8374,7825621.99
lsm_pebble_16m,131072,131072,17149,7642923.31
lsm_pebble_16m,262144,262144,34660,7563182.36
lsm_pebble_16m,524288,524288,68870,7612701.16
lsm_pebble_32m,4096,4096,711,5757523.37
lsm_pebble_32m,8192,8192,1096,7470192.64
lsm_pebble_32m,16384,16384,2151,7616185.88
lsm_pebble_32m,32768,32768,4320,7584965.71
lsm_pebble_32m,65536,65536,8668,7560391.65
lsm_pebble_32m,131072,131072,17307,7572968.95
lsm_pebble_32m,262144,262144,35056,7477837.33
lsm_pebble_32m,524288,524288,68202,7687239.63
lsm_pebble_64m,4096,4096,663,6173323.29
lsm_pebble_64m,8192,8192,1093,7490396.99
lsm_pebble_64m,16384,16384,2084,7861804.22
lsm_pebble_64m,32768,32768,4320,7583942.26
lsm_pebble_64m,65536,65536,8639,7585990.32
lsm_pebble_64m,131072,131072,17189,7625194.07
lsm_pebble_64m,262144,262144,34244,7655171.08
lsm_pebble_64m,524288,524288,70078,7481416.47
