index,op_type,count,min_ns,p50_ns,p95_ns,p99_ns,avg_ns,ops_per_sec
btree_4k,read,49671,625,6042,10375,17291,6707,9274.03
btree_4k,write,950329,1708,4125,12542,18625,5070,177435.20
btree_8k,read,49671,333,5958,11500,17916,6765,9292.64
btree_8k,write,950329,1667,4417,9292,19875,5058,177791.11
btree_16k,read,49671,375,6792,11166,18750,7141,7252.10
btree_16k,write,950329,1750,5166,8875,24834,6620,138750.63
bptree_4k,read,49671,583,3625,6083,13125,3908,12651.24
bptree_4k,write,950329,1250,3125,10666,15166,3713,242049.48
bptree_8k,read,49671,583,4375,7500,15042,4618,11669.68
bptree_8k,write,950329,1375,3541,7000,17958,4024,223269.87
bptree_16k,read,49671,500,4166,7167,15792,4781,10105.92
bptree_16k,write,950329,1417,4375,7084,22583,4700,193351.31
lsm_pebble_16m,read,49671,1125,18917,40000,46042,20819,21645.93
lsm_pebble_16m,write,950329,292,958,1917,5042,1114,414140.06
lsm_pebble_32m,read,49671,834,10083,20458,28667,12462,25223.73
lsm_pebble_32m,write,950329,333,1041,2250,5000,1211,482592.37
lsm_pebble_64m,read,49671,875,9208,13208,20208,9595,23980.89
lsm_pebble_64m,write,950329,333,1250,3083,5375,1470,458813.78
